Doc Type|Doc No.|Mainterm|CAS RN or Other Code|Regnum
EAF|2552|PINE BARK, WHITE, OIL (PINUS STROBUS L.)|977089-62-5|172.510
NUL|2553|PINE BARK, WHITE (PINUS STROBUS L.)|977002-91-7|172.510
ASP|1271|ALPHA-PINENE|80-56-8|172.515,175.300,175.320
ASP|1272|BETA-PINENE|127-91-3|172.515,175.300,175.320
EAF|2554|PINE NEEDLE, DWARF, OIL (PINUS MUGO TURRA VAR. PUMILIO (HAENKE) ZENARI)|8000-26-8|172.510
ASP|2555|PINE, SCOTCH, OIL (PINUS SYLVESTRIS L.)|8023-99-2|172.510
ASP|1273|PINE TAR, OIL (PINUS SPP.)|977009-97-4|172.515
EAF|2556|PINE, WHITE, OIL (PINUS SPP.)|977019-44-5|172.510
NIL|1274|PINOCARVEOL|5947-36-4|172.515
EAF|3917|PINOCARVYL ISOBUTYRATE|929116-08-5|
EAF|3647|PIPERAZINE|110-85-0|175.105,175.320,177.2550
NUL|2557|PIPERAZINE DIHYDROCHLORIDE|142-64-3|
ASP|1275|PIPERIDINE|110-89-4|172.515
ASP|1276|PIPERINE|94-62-2|172.515
NIL|1277|PIPERITENONE|491-09-8|172.515
NIL|1278|PIPERITENONE OXIDE|35178-55-3|172.515
EAF|3601|L-PIPERITONE|4573-50-6|
ASP|1279|D-PIPERITONE|6091-50-5|172.515
EAF|3663|PIPER LONGUM DISTILLATE|90082-60-3|
ASP|1280|PIPERONAL|120-57-0|182.60
EAF|4012|PIPERONAL PROPYLENEGLYCOL ACETAL|61683-99-6|
ASP|1281|PIPERONYL ACETATE|326-61-4|172.515
ASP|1282|PIPERONYL ISOBUTYRATE|5461-08-5|172.515
ASP|2558|PIPSISSEWA LEAVES, EXTRACT (CHIMAPHILA UMBELLATA NUTT.)|89997-56-8|182.20
EAF|3898|1,3-P-MENTHADIEN-7-AL|1197-15-5|
EAF|3464|P-MENTHANE-3,8-DIOL|42822-86-6|
EAF|3899|P-MENTHAN-7-OL|5502-75-0|
EAF|3900|P-MENTH-1-EN-9-OL|18479-68-0|
ASP|1283|POLYACRYLAMIDE|9003-05-8|172.255,173.315,175.105,176.170,176.180
NUL|2559|POLYACRYLAMIDE RESIN, MODIFIED|26006-22-4|173.10
ASP|1586|POLY(ACRYLIC ACID-CO-HYPOPHOSPHITE), SODIUM SALT|71050-62-9|173.310
NIL|1284|POLYACRYLIC ACID, SODIUM SALT|9003-04-7|173.310,173.340,173.73,175.105,176.170,176.180,176.200,177.1200,177.1210
EAF|3083|POLY(ALKYL(C16-22)ACRYLATE)|27029-57-8|172.886,178.3710
ASP|1578|POLYDEXTROSE|68424-04-4|172.841
EAF|3036|POLY(DIVINYLBENZENE-CO-ETHYLSTYRENE)|9043-77-0|173.65
EAF|3037|POLY(DIVINYLBENZENE-CO-TRIMETHYL(VINYLBENZYL)AMMONIUM CHLORIDE)|60177-39-1|173.70
ASP|1286|POLYETHYLENE (M W 2,000-21,000)|9002-88-4|172.615,173.20,175.300,176.180,176.200,176.210,177.1200,177.1390,177.1395,177.1520,177.1615,177.1620,177.2210,177.2600,178.1005,178.3570,178.3850,179.45
ASP|1285|POLYETHYLENE GLYCOL (M W 200-9,500)|25322-68-3|172.210,172.820,173.310,173.340,175.105,175.300,176.180,178.3750,73.1
ASP|2560|POLYETHYLENE GLYCOL (400) DIOLEATE|977051-75-4|173.340,176.170,176.200
ASP|1287|POLYETHYLENE, OXIDIZED|68441-17-8|172.260,175.105,175.125,176.170,176.180,176.200,176.210,177.1200,177.1620,177.2800
NUL|2561|POLYETHYLENIMINE REACTION PRODUCT W/ 1,2-DICHLOROETHANE|68130-97-2|173.357
ASP|1288|POLYGLYCEROL ESTERS OF FATTY ACIDS|977050-69-3|169.115,169.140,169.150,172.854,73.85
ASP|2562|POLYGLYCERYL PHTHALATE ESTER OF COCONUT OIL FATTY ACIDS|66070-87-9|172.710,175.105
ASP|1289|POLYISOBUTYLENE (MIN M W 37,000)|9003-27-4|172.615,175.105,175.125,175.300,176.180,177.1200,177.1210,177.1390,177.1420,177.2800,178.1005,178.1010,178.3570,178.3740,178.3910
ASP|1290|POLYLIMONENE|9003-73-0|172.515,175.300,177.2600
ASP|1580|POLYMALEIC ACID|26099-09-2|173.310,173.45
NUL|2563|POLYMALEIC ACID, SODIUM SALT|30915-61-8|173.310,173.45
EAF|3064|POLY(MALEIC ANHYDRIDE), SODIUM SALT|70247-90-4|173.310,173.45
ASP|2564|POLYOXYETHYLENE (600) DIOLEATE|977028-99-1|173.340,176.200
ASP|1291|POLYOXYETHYLENE DIOLEATE|9005-07-6|
ASP|1292|POLYOXYETHYLENE (600) MONORICINOLEATE|977137-78-2|173.340,176.200
ASP|1293|POLYOXYETHYLENE 40 MONOSTEARATE|9004-99-3|173.340,175.105
ASP|1294|POLYPROPYLENE GLYCOL (M W 1,200-3,000)|25322-69-4|173.310,173.340,175.105,175.300,177.1680,178.3740
ASP|1295|POLYSORBATE 20|9005-64-5|172.515,173.310,175.105,178.3400
ASP|1296|POLYSORBATE 60|9005-67-8|172.515,172.836,172.838,172.840,172.842,173.310,173.340,175.105,178.3400,73.1001
ASP|1297|POLYSORBATE 65|9005-71-4|172.836,172.838,172.840,172.842,173.340,178.3400,73.1001
ASP|1298|POLYSORBATE 80|9005-65-6|172.515,172.836,172.838,172.840,172.842,173.340,175.105,176.180,178.3400,573.860,73.1,73.1001
ASP|2565|POLYSTYRENE, CROSS-LINKED, CHLOROMETHYLATED, THEN AMINATED WITH TRIMETHYLAMINE, DIMETHYLAMINE, DIETHYLENETRIAMINE, OR TRIETHANOLAMINE|977086-87-5|173.25
ASP|1299|POLYVINYL ACETATE|9003-20-7|172.615,175.105,175.300,175.320,176.170,176.180,177.1200,177.2260,177.2800,181.30,73.1
ASP|1300|POLYVINYL ALCOHOL|9002-89-5|175.105,175.300,175.320,176.170,176.180,177.1200,177.1670,177.2260,177.2800,178.3910,181.30,73.1
ASP|1301|POLYVINYL POLYPYRROLIDONE|977043-97-2|173.50
ASP|1302|POLYVINYLPYRROLIDONE|9003-39-8|172.210,173.55,175.105,175.300,176.170,176.180,176.210,73.1,73.1001
ASP|2566|POMEGRANATE BARK, EXTRACT (PUNICA GRANATUM L.)|977018-22-6|182.20
NUL|2567|POPLAR BUDS (POPULUS SPP.)|977002-20-2|172.510
ASP|2568|POPPY SEED (PAPAVER SOMNIFERUM L.)|977051-77-6|182.10
NIL|1303|POTASSIUM ACETATE|127-08-2|172.515
NUL|2569|POTASSIUM ACID PYROPHOSPHATE|14691-84-0|
ASP|2570|POTASSIUM ACID TARTRATE|868-14-4|150.141,150.161,184.1077
ASP|2571|POTASSIUM BENZOATE|582-25-2|166.110,177.1210
ASP|2572|POTASSIUM BICARBONATE|298-14-6|163.110,163.111,163.112,184.1613,73.85
ASP|2573|POTASSIUM BISULFITE|7773-03-7|182.3616
NUL|2574|POTASSIUM BORATE|1332-77-0|
ASP|1304|POTASSIUM BROMATE|7758-01-2|136.110,136.180,137.155,137.160,137.205,172.730
ASP|1305|POTASSIUM BROMIDE|7758-02-3|173.315,178.1010,178.2010
NUL|2575|POTASSIUM CAPRATE|13040-18-1|172.863
NUL|2576|POTASSIUM CAPRYLATE|764-71-6|172.863
ASP|2577|POTASSIUM CARBONATE|584-08-7|163.110,163.111,163.112,172.560,173.310,184.1619,73.85
ASP|1306|POTASSIUM CASEINATE|68131-54-4|135.110,135.140
ASP|2578|POTASSIUM CHLORIDE|7447-40-7|150.141,150.161,166.110,184.1622,201.306
ASP|2579|POTASSIUM CITRATE|6100-05-6|133.169,133.173,133.179,150.141,150.161,175.300,184.1625
BAN|2580|POTASSIUM CYCLAMATE--PROHIBITED|7758-04-5|189.135
NIL|2581|POTASSIUM 2-(1'-ETHOXY)ETHOXYPROPANOATE|100743-68-8|
NUL|2582|POTASSIUM FUMARATE|7704-72-5|172.350
EAF|2583|POTASSIUM GIBBERELLATE|125-67-7|172.725
NUL|2584|POTASSIUM GLUCONATE|299-27-4|
ASP|2585|POTASSIUM GLYCEROPHOSPHATE|1319-70-6|
ASP|2586|POTASSIUM HYDROXIDE|1310-58-3|163.110,163.111,163.112,172.841,175.210,176.180,176.210,177.1600,177.2800,184.1631,73.85
NUL|2587|POTASSIUM HYPOPHOSPHATE|99690-64-9|
ASP|2588|POTASSIUM HYPOPHOSPHITE|7782-87-8|
ASP|2589|POTASSIUM IODATE|7758-05-6|136.110,184.1635,582.80
ASP|2590|POTASSIUM IODIDE|7681-11-0|100.155,172.375,178.1010,184.1634,582.80
ASP|2591|POTASSIUM LACTATE|996-31-6|184.1639
NUL|2592|POTASSIUM LAURATE|10124-65-9|172.863
ASP|2593|POTASSIUM METABISULFITE|16731-55-8|182.3637
ASP|1307|POTASSIUM N-METHYLDITHIOCARBAMATE|137-41-7|173.320,175.105,176.300,178.3120
EAF|2594|POTASSIUM MYRISTATE|13429-27-1|172.863
ASP|2595|POTASSIUM NITRATE|7757-79-1|172.160,181.33,181.34
NUL|2596|POTASSIUM NITRITE|7758-09-0|181.33,181.34
NUL|2597|POTASSIUM OLEATE|143-18-0|172.863,175.300,181.29
NUL|2598|POTASSIUM PALMITATE|2624-31-9|172.863
EAF|3209|POTASSIUM PECTINATE|65028-59-3|184.1588
ASP|2599|POTASSIUM PERMANGANATE|7722-64-7|172.892,175.105,178.1010
ASP|1308|POTASSIUM PERSULFATE|7727-21-1|172.210,175.105,175.210,176.170,177.1210,177.2600
ASP|2601|POTASSIUM PHOSPHATE, MONOBASIC|7778-77-0|101.9,160.110,175.105
ASP|2602|POTASSIUM PHOSPHATE, TRIBASIC|7778-53-2|175.105,176.170,176.180,73.85
NUL|2603|POTASSIUM POLYMETAPHOSPHATE|7790-53-6|
ASP|2604|POTASSIUM PYROPHOSPHATE|7320-34-5|173.315
ASP|2605|POTASSIUM SALTS OF FATTY ACIDS|8046-74-0|172.863,175.105,177.2600,178.3910
ASP|2606|POTASSIUM SORBATE|24634-61-5|133.118,133.123,133.124,133.169,133.173,133.179,133.187,133.188,150.141,150.161,166.110,182.3640,182.90
ASP|2607|POTASSIUM STEARATE|593-29-3|172.615,172.863,173.340,175.300,179.45,181.29
ASP|2608|POTASSIUM SULFATE|7778-80-5|184.1643,73.85
EAF|3074|POTASSIUM SULFITE|10117-38-1|73.85
ASP|2609|POTASSIUM TRIPOLYPHOSPHATE|13845-36-8|173.310,175.105
ASP|3021|POTATO STARCH|977000-07-9|182.70
EAF|3602|PRENYL ACETATE|1191-16-8|
EAF|3603|PRENYL BENZOATE|5205-11-8|
EAF|3604|PRENYL CAPROATE|76649-22-4|
EAF|3605|PRENYL FORMATE|68480-28-4|
EAF|3606|PRENYL ISOBUTYRATE|76649-23-5|
EAF|3320|PRENYL THIOACETATE|33049-93-3|
EAF|3321|PRENYLTHIOL|5287-45-6|
NIL|2611|PRICKLY ASH BARK EXTRACT (XANTHOXYLUM SPP.)|977018-23-7|182.20
NUL|2612|PRICKLY ASH BARK, OIL|977018-24-8|182.20
BAN|2500|P-4000--PROHIBITED|553-79-7|189.175
ASP|1309|L-PROLINE|147-85-3|172.320
ASP|0317|1,2-(DI(1'-ETHOXY)ETHOXY)PROPANE|67715-79-1|
NUL|2613|PROPANE|74-98-6|173.350,184.1655
NIL|1311|1,3-PROPANEDITHIOL|109-80-8|
NIL|1310|1,2-PROPANEDITHIOL|814-67-5|
EAF|4060|1,1-PROPANEDITHIOL|88497-17-0|
EAF|3322|2-PROPANETHIOL|75-33-2|
ASP|1070|3-(METHYLTHIO)PROPANOL|505-10-2|
ASP|0569|(2-FURYL)-2-PROPANONE|6975-60-6|172.515
ASP|0886|1-(P-METHOXYPHENYL)-2-PROPANONE|122-84-9|172.515
EAF|3780|DI-(1-PROPENYL)-SULFIDE (MIXTURE OF ISOMERS)|33922-80-4|
NIL|2614|4-PROPENYL-2,6-DIMETHOXYPHENOL|6635-22-9|
ASP|1312|PROPENYLGUAETHOL|94-86-0|172.515
EAF|3473|(Z)-4-PROPENYLPHENOL|85960-81-2|
EAF|3940|4-(2-PROPENYL)PHENYL-BETA-D-GLUCOPYRANOSIDE|64703-98-6|
EAF|1313|PROPENYL PROPYL DISULFIDE|5905-46-4|
ASP|1314|PROPIONALDEHYDE|123-38-6|172.515
ASP|1071|3-(METHYLTHIO)PROPIONALDEHYDE|3268-49-3|172.515
ASP|1605|PROPIONIC ACID|79-09-4|178.1010,184.1081
EAF|3349|2-(4-METHYL-2-HYDROXYPHENYL)PROPIONIC ACID-GAMMA-LACTONE|65817-24-5|
NIL|1315|2-PROPIONYLPYRROLE|1073-26-3|
EAF|3474|2-PROPIONYLPYRROLINE|133447-37-7|
ASP|1316|2-PROPIONYLTHIAZOLE|43039-98-1|
EAF|3475|2-PROPIONYL-2-THIAZOLINE|29926-42-9|
ASP|1317|PROPIOPHENONE|93-55-0|
ASP|1318|PROPYL ACETATE|109-60-4|172.515,177.1200
ASP|1319|PROPYL ALCOHOL|71-23-8|172.515,175.105,176.180,176.210,177.1200,573.880
EAF|3634|PROPYLAMINE|107-10-8|
ASP|1320|P-PROPYLANISOLE|104-45-0|172.515
NIL|1321|PROPYL BENZOATE|2315-68-6|172.515
ASP|1322|PROPYL BUTYRATE|105-66-8|172.515
ASP|1323|PROPYL CINNAMATE|7778-83-8|172.515
NIL|1324|PROPYL 2,4-DECADIENOATE|84788-08-9|
NIL|2615|4-PROPYL-2,6-DIMETHOXYPHENOL|6766-82-1|
EAF|3790|2-PROPYL-4,5-DIMETHYLOXAZOLE|53833-32-2|
ASP|1325|PROPYL DISULFIDE|629-19-6|172.515
NUL|2616|PROPYLENE CHLOROHYDRIN|78-89-7|172.892
ASP|1615|PROPYLENE GLYCOL|57-55-6|169.175,175.300,175.320,176.180,176.210,177.1390,177.1680,177.2420,177.2600,177.2800,178.3300,184.1666,582.4666,73.30
ASP|2617|PROPYLENE GLYCOL ALGINATE|9005-37-2|133.178,133.179,172.210,172.858,173.340,176.170
EAF|3856|PROPYLENEGLYCOL DIACETATE|623-84-7|
ASP|1326|PROPYLENE GLYCOL DIBENZOATE|19224-26-1|175.105
EAF|3858|PROPYLENEGLYCOL DIBUTYRATE|50980-84-2|
EAF|3862|PROPYLENEGLYCOL DIHEXANOATE|50343-36-7|
EAF|3860|PROPYLENEGLYCOL DI-2-METHYLBUTYRATE|15514-30-0|
EAF|3863|PROPYLENEGLYCOL DIOCTANOATE|7384-98-7|
EAF|3857|PROPYLENEGLYCOL DIPROPIONATE|10108-80-2|
ASP|1327|PROPYLENE GLYCOL MONO- AND DIESTERS OF FATS AND FATTY ACIDS|977050-70-6|136.110,172.856,173.340,176.170
EAF|3880|PROPYLENEGLYCOL MONOBUTYRATE|29592-95-8|
EAF|3861|PROPYLENEGLYCOL MONOHEXANOATE|29592-92-5|
EAF|3859|PROPYLENEGLYCOL MONO-2-METHYLBUTYRATE|977187-82-8|
ASP|1616|PROPYLENE GLYCOL STEARATE|1323-39-3|175.105
NIL|2618|PROPYLENE OXIDE|75-56-9|172.892,175.105,176.210
ASP|1328|PROPYL FORMATE|110-74-7|172.515
ASP|1329|PROPYL 2-FURANACRYLATE|623-22-3|172.515
ASP|1330|PROPYL 2-FUROATE|615-10-1|
ASP|1606|PROPYL GALLATE|121-79-9|166.110,172.615,175.125,175.300,175.380,175.390,176.170,177.1010,177.1210,177.1350,181.24,184.1660
ASP|1331|PROPYL HEPTANOATE|7778-87-2|172.515
ASP|1332|PROPYL HEXANOATE|626-77-7|172.515
ASP|2619|PROPYL P-HYDROXYBENZOATE|94-13-3|150.141,150.161,172.515,181.23,184.1670
ASP|1333|3-PROPYLIDENEPHTHALIDE|17369-59-4|172.515
ASP|1334|PROPYL ISOBUTYRATE|644-49-5|172.515
ASP|1335|PROPYL ISOVALERATE|557-00-6|172.515
EAF|3872|PROPYL LEVULINATE|645-67-0|
ASP|1336|PROPYL MERCAPTAN|107-03-9|172.515
EAF|3607|PROPYL 2-MERCAPTOPROPIONATE|19788-50-2|
ASP|1337|PROPYL 2-METHYL-3-FURYL DISULFIDE|61197-09-9|
ASP|1338|ALPHA-PROPYLPHENETHYL ALCOHOL|705-73-7|172.515
NIL|1340|P-PROPYLPHENOL|645-56-7|
ASP|1339|O-PROPYLPHENOL|644-35-9|
ASP|1341|PROPYL PHENYLACETATE|4606-15-9|172.515
EAF|3660|PROPYL PROPANE THIOSULFONATE|1113-13-9|
ASP|1342|PROPYL PROPIONATE|106-36-5|172.515
EAF|3309|2-PROPYLPYRAZINE|18138-03-9|
EAF|3476|2-PROPYLPYRIDINE|622-39-9|
EAF|3876|PROPYL PYRUVATE|20279-43-0|
EAF|4004|PROPYL SORBATE|10297-72-0|
EAF|4009|PROPYL 4-TERT-BUTYLPHENYLACETATE|92729-55-0|
ASP|1343|PROPYL THIOACETATE|2307-10-0|
ASP|2620|PROTEASE FROM ASPERGILLUS FLAVUS|977017-31-4|
ASP|2621|PROTEASE FROM ASPERGILLUS NIGER|977031-92-7|
ASP|2622|PROTEASE FROM ASPERGILLUS ORYZAE|977017-33-6|
EAF|3334|PROTEASE FROM BACILLUS AMYLOLIQUEFACIENS|977031-93-8|184.1150
ASP|2623|PROTEASE FROM BACILLUS LICHENIFORMIS|977165-99-3|
ASP|2624|PROTEASE FROM BACILLUS SUBTILIS|51931-23-8|184.1150
ASP|2625|PROTEIN, ANIMAL, HYDROLYZED|100085-61-8|170.60
ASP|2626|PROTEIN HYDROLYSATE, UNSPECIFIED|9015-54-7|101.17,101.22,102.22,161.190(A)(6),170.60,573.200
NUL|2627|PROTEIN, MILK, HYDROLYZED|92797-39-2|
ASP|2628|PROTEIN, VEGETABLE, HYDROLYZED|100209-45-8|139.117,155.120,155.130,155.170,155.200,155.201,170.60
EAF|3696|PSEUDOIONONE|141-10-6|
NUL|2629|PSYLLIUM SEED HUSK|8063-16-9|101.17,101.81
ASP|1344|PULEGONE|89-82-7|172.515
NUL|2632|PULP|977139-78-8|186.1673
EAF|3392|PYRAZINE|290-37-9|
ASP|1345|PYRAZINE ETHANETHIOL|35250-53-4|
ASP|1346|PYRAZINYL METHYL SULFIDE|21948-70-9|
ASP|1043|3-(2-METHYLPROPYL)PYRIDINE|14159-61-6|
ASP|1347|PYRIDINE|110-86-1|172.515,177.1580,177.1585
ASP|1348|2-PYRIDINEMETHANETHIOL|2044-73-7|
NIL|2635|PYRIDOXINE|65-23-6|101.9
ASP|2636|PYRIDOXINE HYDROCHLORIDE|58-56-0|101.9,107.100,184.1676
ASP|2637|PYROLIGNEOUS ACID|8030-97-5|101.22
ASP|2638|PYROLIGNEOUS ACID, EXTRACT|8028-47-5|172.515
ASP|1349|PYRROLE|109-97-7|
ASP|1350|PYRROLIDINE|123-75-1|
EAF|3717|PYRROLIDINO-[1,2E]-4H-2,4-DIMETHYL-1,3,5-DITHIAZINE|116505-60-3|
EAF|3323|1-PYRROLINE|5724-81-2|
ASP|1351|PYRUVALDEHYDE|78-98-8|172.515
ASP|1352|PYRUVIC ACID|127-17-3|172.515
ASP|2639|QUASSIA, EXTRACT (PICRASMA EXCELSA (SW.) PLANCH OR QUASSIA AMARA L.)|68915-32-2|172.510
NUL|2947|QUATERNARY AMMONIUM CHLORIDE COMBINATION|977127-82-4|172.165,173.320
ASP|2640|QUEBRACHO BARK EXTRACT|977092-71-9|172.510,173.310
ASP|3218|QUILLAIA EXTRACT (QUILLAJA SAPONARIA MOLINA)|68990-67-0|172.510
ASP|2641|QUILLAIA (QUILLAJA SAPONARIA MOLINA)|977002-27-9|172.510
NIL|2642|QUINCE SEED, EXTRACT (CYDONIA SPP.)|977018-25-9|182.40
NIL|1353|QUININE BISULFATE|549-56-4|
ASP|1354|QUININE HYDROCHLORIDE|130-89-2|172.575
ASP|1355|QUININE SULFATE|6119-70-6|172.575
NIL|1356|QUINOLINE|91-22-5|
ASP|2645|RAPESEED OIL, HYDROGENATED|84681-71-0|176.180,176.210,177.2800,184.1555
ASP|2646|RAPESEED OIL, HYDROGENATED, SUPERGLYCERINATED|977011-92-9|184.1555
NUL|2955|RAPESEED OIL, LOW ERUCIC ACID|120962-03-0|184.1555
NUL|2956|RAPESEED OIL, LOW ERUCIC ACID, PARTIALLY HYDROGENATED|977106-35-6|184.1555
EAF|4103|REBAUDIOSIDE C|63550-99-2|
EAF|3992|REBAUDIOSIDE A|58543-16-1|
ASP|2647|RENNET|9042-08-4|131.160,131.162,133.102,133.106,133.108,133.111,133.113,133.118,133.127,133.129,133.133,133.136,133.138,133.141,133.144,133.147,133.149,133.150,133.152,133.153,133.155,133.156,133.162,133.164,133.165,133.181,133.182,133.183,133.184,133.185,133.187,133.188,133.189,133.190,133.195,184.1685
NUL|2648|RESIN, FROM FORMALDEHYDE, ACETONE, AND TETRAETHYLENEPENTAMINE|9006-70-6|173.25
ASP|1358|RESORCINOL|108-46-3|177.1210
ASP|2649|L-RHAMNOSE|3615-41-6|
ASP|2650|RHATANY, EXTRACT (KRAMERIA SPP.)|84775-95-1|172.510
ASP|1359|RHODINOL|141-25-3|172.515
ASP|1360|RHODINYL ACETATE|141-11-7|172.515
ASP|1361|RHODINYL BUTYRATE|141-15-1|172.515
ASP|1362|RHODINYL FORMATE|141-09-3|172.515
ASP|1363|RHODINYL ISOBUTYRATE|138-23-8|172.515
ASP|1364|RHODINYL ISOVALERATE|7778-96-3|172.515
ASP|1365|RHODINYL PHENYLACETATE|10486-14-3|172.515
ASP|1366|RHODINYL PROPIONATE|105-89-5|172.515
ASP|2651|RHUBARB, GARDEN ROOT (RHEUM RHAPONTICUM L.)|977035-94-1|172.510
ASP|2652|RHUBARB ROOT (RHEUM SPP.)|977039-94-3|172.510
ASP|2653|RIBOFLAVIN|83-88-5|101.9,107.100,136.115,137.165,137.185,137.260,137.305,137.350,139.115,139.117,139.122,139.155,184.1695,73.450
EAF|2654|RIBOFLAVIN 5'-PHOSPHATE|146-17-8|
EAF|3210|RIBOFLAVIN 5'-PHOSPHATE, SODIUM|130-40-5|184.1697
ASP|3014|D-RIBOSE|50-69-1|
NIL|1367|RICE BRAN WAX|8016-60-2|172.615,172.890,178.3860
ASP|2656|RICE, MILLED|977083-18-3|
ASP|3022|RICE STARCH|977000-08-0|
EAF|3884|(R)-(-)-1-OCTEN-3-OL|3687-48-7|
EAF|2657|ROSE, ABSOLUTE (ROSA SPP.)|977091-93-2|182.20
NUL|2658|ROSE, BUD (ROSA SPP.)|977029-67-6|
NUL|2660|ROSE FLOWERS (ROSA SPP.)|977029-69-8|
ASP|2661|ROSE HIPS, EXTRACT (ROSA SPP.)|977021-37-6|182.20
NUL|2662|ROSE LEAVES (ROSA SPP.)|977029-70-1|
ASP|2663|ROSELLE (HIBISCUS SABDARIFFA L.)|977017-88-1|172.510
ASP|3214|ROSEMARY, EXTRACT (ROSMARINUS OFFICINALIS L.)|84604-14-8|182.20
ASP|2664|ROSEMARY, OIL (ROSEMARINUS OFFICINALIS L.)|8000-25-7|182.20
ASP|2665|ROSEMARY, OLEORESIN|977029-68-7|182.20
ASP|2666|ROSEMARY (ROSEMARINUS OFFICINALIS L.)|977002-36-0|101.22,182.10
ASP|2659|ROSE, OIL (ROSA SPP.)|8007-01-0|182.20
NIL|2667|ROSE WATER, STRONGER (ROSA CENTIFOLIA L.)|8030-26-0|182.20
ASP|1368|ROSIDINHA (MICROPHOLIS (ALSO KNOWN AS SIDEROXYLON) SPP.)|977011-51-0|172.615
NIL|1369|ROSIN, ADDUCT WITH FUMARIC ACID, PENTAERYTHRITOL ESTER|65997-11-7|175.105,175.320,73.1
EAF|3623|ROSIN, GLYCEROL ESTER|8050-31-5|175.105,175.300
ASP|1370|ROSIN, GUM, GLYCEROL ESTER|977035-48-5|172.615,172.735,175.105,175.300,175.320
ASP|1371|ROSIN, GUM OR WOOD, PARTIALLY HYDROGENATED, GLYCEROL ESTER|977074-36-4|172.615,175.105,175.300
ASP|1357|ROSIN, GUM OR WOOD, PARTIALLY HYDROGENATED, PENTAERYTHRITOL ESTER|977045-82-1|172.615,175.105,175.300
ASP|1372|ROSIN, GUM OR WOOD, PENTAERYTHRITOL ESTER|977045-81-0|172.615,175.105,175.300
NIL|1373|ROSIN, LIMED|9007-13-0|175.105,175.300,73.1
ASP|1374|ROSIN, METHYL ESTER, PARTIALLY HYDROGENATED|977035-88-3|172.515,172.615,175.105,175.300,176.200,178.3120,178.3800,178.3850,178.3870
ASP|1375|ROSIN, PARTIALLY DIMERIZED, CALCIUM SALT|977051-86-7|172.210,175.105,176.200,178.3120,178.3800,178.3850,178.3870
ASP|1376|ROSIN, PARTIALLY DIMERIZED, GLYCEROL ESTER|977013-72-1|172.615,175.105,175.300,176.200,178.3120,178.3800,178.3850,178.3870
NIL|1377|ROSIN, PARTIALLY HYDROGENATED|977051-87-8|172.210,175.105,175.300,176.200,178.3120,178.3800,178.3850,178.3870
ASP|2668|ROSIN (PINUS SPP.) AND ROSIN DERIVATIVES|8050-09-7|172.510,175.105,175.125,176.170,179.45,73.1
ASP|1378|ROSIN, POLYMERIZED, GLYCEROL ESTER|68475-37-6|172.615,175.300
ASP|1379|ROSIN, TALL OIL, GLYCEROL ESTER|977019-97-8|172.615,172.735,175.105,175.300,176.200,178.3120,178.3800,178.3850,178.3870
NIL|1380|ROSIN, WOOD|9014-63-5|172.210,172.735,175.105,175.300,176.200,178.3120,178.3800,178.3850,178.3870
ASP|1381|ROSIN, WOOD, GLYCEROL ESTER|8050-30-4|172.615,172.735,175.105,175.300,176.200,178.3120,178.3800,178.3850,178.3870
NUL|1383|ROSIN, WOOD, MALEIC ANHYD. MOD., PENTAERYTHRITOL ESTER, ACID #176-186|977045-98-9|172.210,175.105,175.300
ASP|1382|ROSIN, WOOD, MALEIC ANHYD. MOD., PENTAERYTHRITOL ESTER, ACID #134-145|977045-97-8|172.210,175.105,175.300,176.200,178.3120,178.3800,178.3850,178.3870
EAF|4070|(1R,2S,5R)-N-(4-METHOXYPHENYL)-5-METHYL-2-(1-METHYLETHYL)CYCLOHEXANECARBOXAMIDE|68489-09-8|
ASP|1384|RUBBER, NATURAL-SMOKED SHEET AND LATEX SOLIDS (HEVEA BRASILIENSIS)|9006-04-6|172.615,175.125,175.300
EAF|2669|RUE, OIL (RUTA GRAVEOLENS L.)|8014-29-7|184.1699
NIL|2670|RUE (RUTA GRAVEOLENS L.)|977051-88-9|184.1698
NUL|2671|RUM|977089-45-4|
ASP|1385|RUM ETHER|8030-89-5|172.515
ASP|2672|RUTIN|153-18-4|
EAF|2676|SACCHARIN|81-07-2|145.116,145.126,145.131,145.136,145.171,145.176,145.181,150.141,150.161,172.812,180.37
NUL|2677|SACCHARIN, AMMONIUM SALT|6381-61-9|180.37
ASP|2678|SACCHARIN, CALCIUM SALT|6381-91-5|150.141,150.161,180.37
ASP|1607|SACCHARIN, SODIUM SALT|128-44-9|145.116,145.126,145.131,145.136,145.171,145.176,145.181,150.141,150.161,180.37
ASP|1386|SAFFRON (CROCUS SATIVUS L.)|977051-90-3|101.22,169.140,169.150,182.10,73.500
EAF|2679|SAFFRON, EXTRACT (CROCUS SATIVUS L.)|84604-17-1|182.20
ASP|1387|SAFROLE-FREE EXTRACT OF SASSAFRAS|977051-97-0|172.580
BAN|2680|SAFROLE--PROHIBITED|94-59-7|189.180
ASP|2681|SAGE, GREEK (SALVIA TRILOBA L.)|977051-95-8|182.10
ASP|2682|SAGE, OIL (SALVIA OFFICINALIS L.)|8022-56-8|182.20
ASP|2683|SAGE, OLEORESIN (SALVIA OFFICINALIS L.)|977029-66-5|182.20
ASP|2684|SAGE (SALVIA OFFICINALIS L.)|977002-44-0|101.22,182.10
ASP|2685|SAGE, SPANISH, OIL (SALVIA LAVANDULAEFOLIA VAHL.)|977125-77-1|182.20
