Doc Type|Doc No.|Mainterm|CAS RN or Other Code|Regnum
ASP|1612|DIACETYL|431-03-8|184.1278
NUL|2014|DI-N-ALKYL(C8-C18 FROM COCONUT OIL) DIMETHYL AMMONIUM CHLORIDE|61789-77-3|172.710,177.1200
ASP|0309|DIALLYL POLYSULFIDES|72869-75-1|
EAF|0310|DIALLYL TRISULFIDE|2050-87-5|
EAF|3372|DIAMYL KETONE|927-49-1|
ASP|2015|DIASTASE FROM ASPERGILLUS ORYZAE|9001-19-8|
NIL|2016|DIATOMACEOUS EARTH|61790-53-2|175.300,176.170,177.1680,177.2260,177.2410,178.3297,182.90,573.340
ASP|0311|DIBENZYL ETHER|103-50-4|172.515
ASP|1574|2,2-DIBROMO-3-NITRILOPROPIONAMIDE|10222-01-2|173.320,175.105,176.170,176.300
ASP|0313|4,4-DIBUTYL-GAMMA-BUTYROLACTONE|7774-47-2|172.515
ASP|0314|DIBUTYL SEBACATE|109-43-3|172.515,175.105,175.300,175.320,176.170,177.2600,178.3910,181.27
ASP|0315|DICHLORODIFLUOROMETHANE|75-71-8|173.355
ASP|0316|DICYCLOHEXYL DISULFIDE|2550-40-5|
NUL|2017|DIETHANOLAMIDE CONDENSATE FROM SOYBEAN OIL FATTY ACIDS (C16-C18)|68425-47-8|172.710,176.180,176.210,177.2800
NUL|2018|DIETHANOLAMIDE CONDENSATE FROM STRIPPED COCONUT OIL FATTY ACIDS(C10-C18)|977103-82-4|172.710
ASP|0318|DIETHYLAMINOETHANOL|100-37-8|173.310
EAF|3500|DIETHYL DISULFIDE|110-81-6|
NUL|0319|DIETHYLENE GLYCOL DISTEARATE|109-30-8|73.1
NUL|2019|DIETHYLENETRIAMINE|111-40-0|173.20,175.105,175.300,176.170,176.180,176.210,177.1200
NUL|2020|DIETHYLENETRIAMINE CROSSLINKED WITH EPICHLOROHYDRIN|25085-17-0|173.25
ASP|0320|DIETHYL MALATE|7554-12-3|172.515
ASP|0321|DIETHYL MALONATE|105-53-3|172.515
EAF|3211|3,5-DIETHYL-2-METHYLPYRAZINE|18138-05-1|
EAF|3208|2,5-DIETHYL-3-METHYLPYRAZINE|32736-91-7|
ASP|0322|2,3-DIETHYL-5-METHYLPYRAZINE|18138-04-0|
ASP|0323|2,3-DIETHYLPYRAZINE|15707-24-1|
BAN|2021|DIETHYL PYROCARBONATE -- PROHIBITED|1609-47-8|189.140
ASP|0324|DIETHYL SEBACATE|110-40-7|172.515
ASP|0325|DIETHYL SUCCINATE|123-25-1|172.515
EAF|3253|DIETHYL SULFIDE|352-93-2|
ASP|0326|DIETHYL TARTRATE|87-91-2|172.515
ASP|0327|2,5-DIETHYLTETRAHYDROFURAN|41239-48-9|172.515
EAF|3439|DIETHYL TRISULFIDE|3600-24-6|
EAF|3440|(+/-)-CIS- AND TRANS-3,5-DIETHYL-1,2,4-TRITHIOLANE|54644-28-9|
ASP|0328|DIFURFURYL ETHER|4437-22-3|
EAF|3502|2,4-DIFURFURYLFURAN|64280-32-6|
EAF|3932|DI-2-FURYLMETHANE|1197-40-6|
EAF|4054|DIGERANYL ETHER|31147-36-1|
ASP|0335|DIHYDRO-ALPHA-IONONE|31499-72-6|
ASP|0329|DIHYDROCARVEOL|619-01-2|172.515
NIL|0330|CIS-DIHYDROCARVONE|3792-53-8|172.515
ASP|0331|DIHYDROCARVYL ACETATE|20777-49-5|172.515
ASP|0332|DIHYDROCOUMARIN|119-84-6|
EAF|3212|6,7-DIHYDRO-2,3-DIMETHYL-5H-CYCLOPENTAPYRAZINE|38917-63-4|
EAF|3429|4,5-DIHYDRO-2,5-DIMETHYL-4-OXO-3-FURANYL BUTYRATE|114099-96-6|
EAF|3441|(+/-)-DIHYDROFARNESOL|51411-24-6|
EAF|3947|DIHYDROGALANGAL ACETATE|129319-15-9|
ASP|0334|DIHYDRO-BETA-IONOL|3293-47-8|
ASP|0336|DIHYDRO-BETA-IONONE|17283-81-7|
EAF|2022|3,6-DIHYDRO-4-METHYL-2(2-METHYLPROPEN-1-YL)-2H-PYRAN|1786-08-9|
ASP|0337|5,7-DIHYDRO-2-METHYLTHIENO(3,4-D)PYRIMIDINE|36267-71-7|
EAF|3442|(+/-)-DIHYDROMINTLACTONE|92015-65-1|
EAF|2998|DIHYDRONOOTKATONE|20489-53-6|
EAF|3708|(+/-)-CIS- AND TRANS-1,2-DIHYDROPERILLALDEHYDE|137886-38-5|
ASP|0333|4,5-DIHYDRO-3(2H)THIOPHENONE|1003-04-9|
EAF|3373|DIHYDRO-2,4,6-TRIMETHYL-4H-1,3,5-DITHIAZINE|86241-90-9|
EAF|3374|DIHYDRO-2,4,6-TRIS(2-METHYLPROPYL)-4H-1,3,5-DITHIAZINE|74595-94-1|
EAF|3444|DIHYDROXYACETONE (DIMER)|62147-49-3|
EAF|3443|DIHYDROXYACETONE (MONOMER)|96-26-4|
NIL|0338|DIHYDROXYACETOPHENONE|28631-86-9|
EAF|3045|2,4-DIHYDROXYBENZOIC ACID|89-86-1|
EAF|3823|3,4-DIHYDROXYBENZOIC ACID|99-50-3|
EAF|3337|2,5-DIHYDROXY-1,4-DITHIANE|40018-26-6|
EAF|3709|5,7-DIHYDROXY-2-(3-HYDROXY-4-METHXY-PHENYL)-CHROMAN-4-ONE|520-33-2|
EAF|4093|3',7-DIHYDROXY-4'-METHOXYFLAVAN|76426-35-2|
EAF|3967|DIISOAMYL DISULFIDE|2051-04-9|
EAF|3972|DIISOAMYL TRISULFIDE|955371-64-9|
EAF|3867|DIISOBUTYL ADIPATE|141-04-8|175.105,175.300,181.27
ASP|0358|DIISOBUTYL KETONE|108-83-8|175.105
EAF|3503|DIISOPENTYL THIOMALATE|68084-03-7|
EAF|3866|DIISOPROPYL ADIPATE|6938-94-9|
EAF|3255|DIISOPROPYL DISULFIDE|4253-89-8|
EAF|3375|DIISOPROPYL TRISULFIDE|5943-34-0|
NIL|2023|DILAURYL THIODIPROPIONATE|123-28-4|175.300,177.1010,181.24,182.3280
ASP|2024|DILL (ANETHUM GRAVEOLENS L.)|977050-60-4|184.1282
ASP|2025|DILL, OIL (ANETHUM GRAVEOLENS L.)|8006-75-5|184.1282
ASP|2026|DILL SEED, INDIAN (ANETHUM SPP.)|977082-99-7|101.22,172.510,184.1282
EAF|3125|DILL SEED OIL(ANETHUM SOWA ROXB.)|8016-05-5|172.510
EAF|3995|DIMENTHYL GLUTARATE|406179-71-3|
EAF|3504|DIMERCAPTOMETHANE|6725-64-0|
ASP|0339|M-DIMETHOXYBENZENE|151-10-0|172.515
ASP|0340|P-DIMETHOXYBENZENE|150-78-7|172.515
EAF|3046|1,2-DIMETHOXYBENZENE|91-16-7|
EAF|3630|N1-(2,4-DIMETHOXYBENZYL)-N2-(2-(PYRIDIN-2-YL) ETHYL)OXALAMIDE|745047-53-4|
ASP|0341|1,1-DIMETHOXYETHANE|534-15-6|
EAF|3505|1,1-DIMETHOXY-TRANS-2-HEXENE|18318-83-7|
ASP|0342|2,6-DIMETHOXYPHENOL|91-10-1|
EAF|3706|N-[2-(3,4-DIMETHOXYPHENYL)ETHYL]-3,4-DIMETHOXYCINNAMIC ACID AMIDE|69444-90-2|
ASP|0343|3,4-DIMETHOXY-1-VINYLBENZENE|6380-23-0|
EAF|3711|3,6-DIMETHYL-2,3,3A,4,5,7A-HEXAHYDROBENZOFURAN|70786-44-6|
ASP|0344|2,4-DIMETHYLACETOPHENONE|89-74-7|172.515
ASP|0345|1,4-DIMETHYL-4-ACETYL-1-CYCLOHEXENE|43219-68-7|
ASP|0346|2,4-DIMETHYL-5-ACETYLTHIAZOLE|38205-60-6|
EAF|3864|DIMETHYL ADIPATE|627-93-0|
ASP|2027|DIMETHYLAMINE|124-40-3|173.20,176.170
EAF|3093|DIMETHYLAMINE-EPICHLOROHYDRIN COPOLYMER|25988-97-0|173.60,176.170
EAF|3256|2,4-DIMETHYLANISOLE|6738-23-4|
ASP|0347|2,4-DIMETHYLBENZALDEHYDE|15764-16-6|
ASP|0348|2,3-DIMETHYLBENZOFURAN|3782-00-1|
NIL|0349|P,ALPHA-DIMETHYLBENZYL ALCOHOL|536-50-5|
EAF|3797|DIMETHYLBENZYL CARBINYL CROTONATE|93762-34-6|
EAF|3798|DIMETHYLBENZYL CARBINYL HEXANOATE|891781-90-1|
ASP|0350|ALPHA,ALPHA-DIMETHYLBENZYL ISOBUTYRATE|7774-60-9|172.515
ASP|0352|3,5-DIMETHYL-1,2-CYCLOPENTADIONE|13494-07-0|
ASP|0351|3,4-DIMETHYL-1,2-CYCLOPENTADIONE|13494-06-9|
EAF|3512|(+/-)-TRANS- AND CIS-5-(2,2-DIMETHYLCYCLOPROPYL)-3-METHYL-2-PENTENAL|877-60-1|
ASP|0353|DIMETHYL DIALKYL AMMONIUM CHLORIDE|977065-95-4|173.400
ASP|2954|DIMETHYL DICARBONATE|4525-33-1|172.133
EAF|4090|2(3),5-DIMETHYL-6,7-DIHYDRO-5H-CYCLOPENTAPYRAZINE|34514-55-1|
ASP|0354|2,5-DIMETHYL-2,5-DIHYDROXY-1,4-DITHIANE|55704-78-4|
EAF|3506|2,4-DIMETHYL-1,3-DIOXOLANE|3390-12-3|
NIL|2028|DIMETHYLETHANOLAMINE|108-01-0|173.20,175.105,175.300
EAF|3511|2,5-DIMETHYL-4-ETHOXY-3(2H)-FURANONE|65330-49-6|
EAF|3789|2,5-DIMETHYL-4-ETHYLOXAZOLE|30408-61-8|
EAF|1588|4-(1,1-DIMETHYLETHYL)PHENOL|98-54-4|175.300,177.1580,177.1585,177.2410
ASP|0355|4,5-DIMETHYL-2-ETHYL-3-THIAZOLINE|76788-46-0|
EAF|3513|2,5-DIMETHYLFURAN|625-86-5|
EAF|3508|2,5-DIMETHYL-3(2H)-FURANONE|14400-67-0|
ASP|0356|2,5-DIMETHYL-3-FURANTHIOL|55764-23-3|
EAF|3445|2,5-DIMETHYL-3-FURANTHIOL ACETATE|55764-22-2|
ASP|0357|2,6-DIMETHYL-4-HEPTANOL|108-82-7|
ASP|0363|2,6-DIMETHYL-3-((2-METHYL-3-FURYL)THIO)-4-HEPTANONE|61295-51-0|
ASP|0359|2,6-DIMETHYL-5-HEPTENAL|106-72-9|172.515
EAF|3776|2,6-DIMETHYL-5-HEPTENAL PROPYLENEGLYCOL ACETAL|74094-63-6|
EAF|2029|2,6-DIMETHYL-6-HEPTEN-1-OL|40326-01-0|
ASP|0360|4,5-DIMETHYL-3-HYDROXY-2,5-DIHYDROFURAN-2-ONE|28664-35-9|
EAF|3307|3,6-DIMETHYL-2-ISOBUTYLPYRAZINE|32736-94-0|
EAF|3507|3,5-DIMETHYL-2-ISOBUTYLPYRAZINE|70303-42-3|
EAF|4037|4,5-DIMETHYL-2-ISOBUTYLTHIAZOLE|53498-32-1|
ASP|0361|4,5-DIMETHYL-2-ISOBUTYL-3-THIAZOLINE|65894-83-9|
EAF|4109|3-(1-((3,5-DIMETHYLISOXAZOL-4-YL)METHYL)-1H-PYRAZOL-4-YL)-1-(3- HYDROXYBENZYL)-5,5-DIMETHYLIMIDAZOLIDINE-2,4-DIONE|1217341-48-4|
EAF|4108|3-(1-((3,5-DIMETHYLISOXAZOL-4-YL)METHYL)-1H-PYRAZOL-4-YL)-1-(3- HYDROXYBENZYL)IMIDAZOLIDINE-2,4-DIONE|1119831-25-2|
EAF|3627|(+/-)-N,N-DIMETHYL MENTHYL SUCCINAMIDE|544714-08-1|
EAF|3409|2,5-DIMETHYL-3-MERCAPTOTETRAHYDROFURAN|26486-21-5|
EAF|2030|2,5-DIMETHYL-4-METHOXY-3(2H)-FURANONE|4077-47-8|
ASP|0362|2,6-DIMETHYL-10-METHYLENE-2,6,11-DODECATRIENAL|60066-88-8|
EAF|3682|3,9-DIMETHYL-6-(1-METHYLETHYL)-1,4-DIOXASPIRO[4.5]
DECAN-2-ONE|831213-72-0|
EAF|2031|2,2-DIMETHYL-5-(1-METHYLPROPEN-1-YL) TETRAHYDROFURAN|7416-35-5|
EAF|3509|(+/-)-TRANS- AND CIS-4,8-DIMETHYL-3,7-NONADIEN-2-OL|67845-50-5|
EAF|3431|4,8-DIMETHYL-3,7-NONADIEN-2-ONE, CIS-|27575-61-7|
EAF|3430|4,8-DIMETHYL-3,7-NONADIEN-2-ONE|817-88-9|
EAF|3432|4,8-DIMETHYL-3,7-NONADIEN-2-ONE, TRANS-|27539-94-2|
EAF|3510|(+/-)-TRANS- AND CIS-4,8-DIMETHYL-3,7-NONADIEN-2-YL ACETATE|91418-25-6|
EAF|3801|2,4-DIMETHYL-4-NONANOL|74356-31-3|
EAF|3257|(E)-2-(3,7-DIMETHYL-2,6-OCTADIENYL)CYCLOPENTANONE|74016-19-6|
EAF|3664|N-3,7-DIMETHYL-2,6-OCTADIENYLCYCLOPROPYLCARBOXAMIDE|744251-93-2|
NIL|0364|2-TRANS-3,7-DIMETHYLOCTA-2,6-DIENYL 2-ETHYLBUTANOATE|73019-14-4|
ASP|0365|2,6-DIMETHYLOCTANAL|7779-07-9|172.515
EAF|3744|3,7-DIMETHYLOCTANAL|5988-91-0|
ASP|0366|3,7-DIMETHYL-1-OCTANOL|106-21-8|172.515
EAF|3258|(E)-3,7-DIMETHYL-1,5,7-OCTATRIEN-3-OL|29171-20-8|
ASP|0367|3,7-DIMETHYL-6-OCTENOIC ACID|502-47-6|
EAF|3822|2,4-DIMETHYL-3-OXAZOLINE|77311-02-5|
ASP|0368|2,4-DIMETHYL-2-PENTENOIC ACID|66634-97-7|
ASP|0369|ALPHA,ALPHA-DIMETHYLPHENETHYL ACETATE|151-05-3|172.515
ASP|0370|ALPHA,ALPHA-DIMETHYLPHENETHYL ALCOHOL|100-86-7|172.515
EAF|3645|N,N-DIMETHYLPHENETHYLAMINE|2449-49-2|
ASP|0371|ALPHA,ALPHA-DIMETHYLPHENETHYL BUTYRATE|10094-34-5|172.515
ASP|0372|ALPHA,ALPHA-DIMETHYLPHENETHYL FORMATE|10058-43-2|172.515
ASP|0373|DIMETHYLPOLYSILOXANE|9016-00-6|145.180,146.185,173.340,175.105,175.300,176.170,176.180,176.200,176.210,177.1200,177.2260,177.2800,178.3570,178.3910,181.28
ASP|0375|2,5-DIMETHYLPYRAZINE|123-32-0|
ASP|0376|2,6-DIMETHYLPYRAZINE|108-50-9|
ASP|0374|2,3-DIMETHYLPYRAZINE|5910-89-4|
ASP|0377|2,6-DIMETHYLPYRIDINE|108-48-5|
EAF|3783|2,4-DIMETHYLPYRIDINE|108-47-4|177.1520
NIL|0378|2,5-DIMETHYLPYRROLE|625-84-3|
ASP|0379|P,ALPHA-DIMETHYLSTYRENE|1195-32-0|
ASP|0380|DIMETHYL SUCCINATE|106-65-0|172.515
EAF|1652|DIMETHYL SULFOXIDE|67-68-5|172.859,177.1655,177.2440
EAF|3446|2,5-DIMETHYLTHIAZOLE|4175-66-0|
ASP|0381|4,5-DIMETHYLTHIAZOLE|3581-91-7|
ASP|0163|2-(2-BUTYL)-4,5-DIMETHYL-3-THIAZOLINE|65894-82-8|
ASP|0383|2,5-DIMETHYL-3-THIOISOVALERYLFURAN|55764-28-8|
EAF|4035|3,4-DIMETHYLTHIOPHENE|632-15-5|
EAF|2032|2,6-DIMETHYLTHIOPHENOL|118-72-9|
ASP|0384|DIMETHYL TRISULFIDE|3658-80-8|
ASP|0385|3,5-DIMETHYL-1,2,4-TRITHIOLANE|23654-92-4|
ASP|0386|2,4-DIMETHYL-5-VINYLTHIAZOLE|65505-18-2|
EAF|3868|DIOCTYL ADIPATE|123-79-5|177.2600
ASP|1596|DIOCTYL SODIUM SULFOSUCCINATE|577-11-7|131.130,131.132,133.124,133.133,133.134,133.162,133.178,133.179,163.117,169.115,169.150,172.520,172.808,172.810,175.105,175.300,175.320,176.170,176.180,176.210,177.1200,177.2800,178.1010,178.3400,73.1
ASP|0387|DIPHENYL ETHER|101-84-8|
ASP|0388|1,3-DIPHENYL-2-PROPANONE|102-04-5|172.515
ASP|2600|DIPOTASSIUM PHOSPHATE|7758-11-4|133.169,133.173,133.179,175.105,182.6285,73.85
EAF|4077|1,1-DIPROPOXYETHANE|105-82-8|
EAF|3865|DIPROPYL ADIPATE|106-19-4|
ASP|0389|DIPROPYL TRISULFIDE|6028-61-1|
EAF|3970|DI-SEC-BUTYL DISULFIDE|5943-30-6|
ASP|2719|DISODIUM CITRATE|144-33-2|181.29
ASP|0390|DISODIUM CYANODITHIOIMIDOCARBONATE|138-93-2|173.320,175.105,176.300,178.3120,181.30
ASP|0391|DISODIUM ETHYLENEBISDITHIOCARBAMATE|142-59-6|173.320,176.180,176.300
ASP|0392|DISODIUM GUANYLATE|5550-12-9|155.120,155.130,155.170,155.200,155.201,170.60,172.530
ASP|0393|DISODIUM INOSINATE|4691-65-0|155.120,155.130,155.170,155.200,155.201,170.60,172.535
ASP|0394|DISODIUM SUCCINATE|150-90-3|
ASP|0312|DI-(BUTAN-3-ONE-1-YL) SULFIDE|40790-04-3|
EAF|3695|2,5-DITHIAHEXANE|6628-18-8|
EAF|3259|1,4-DITHIANE|505-29-3|
ASP|0396|2,8-DITHIANON-4-EN-4-CARBOXALDEHYDE|59902-01-1|
ASP|0397|2,2'-(DITHIODIMETHYLENE) DIFURAN|4437-20-1|
NIL|2034|DITTANY OF CRETE (ORIGANUM DICTAMNUS L.)|977017-92-7|172.510
NUL|2033|DITTANY (FRAXINELLA) ROOTS (DICTAMNUS ALBUS L.)|977047-65-6|172.510
EAF|3514|DIVANILLIN|2092-49-1|
EAF|3905|DL-CAMPHOR|21368-68-3|
EAF|3896|D-LIMONEN-10-OL|38142-45-9|
ASP|0781|DL-ISOLEUCINE|443-79-8|
ASP|0783|DL-ISOMENTHONE|491-07-6|
ASP|1552|DL-VALINE|516-06-3|
ASP|0400|EPSILON-DODECALACTONE|16429-21-3|
ASP|0401|GAMMA-DODECALACTONE|2305-05-7|172.515
ASP|0399|DELTA-DODECALACTONE|713-95-1|172.515
EAF|3762|DODECANAL DIMETHYL ACETAL|14620-52-1|
EAF|3447|(Z)-4-DODECENAL|21944-98-9|
ASP|0402|2-DODECENAL|4826-62-4|172.515
EAF|3751|11-DODECENOIC ACID|65423-25-8|
EAF|3837|9-DODECEN-5-OLIDE|15456-68-5|
EAF|3736|DODECYL BUTYRATE|3724-61-6|
NIL|0403|DODECYL GALLATE|1166-52-5|166.110
ASP|0404|DODECYL ISOBUTYRATE|6624-71-1|
EAF|3874|DODECYL LACTATE|6283-92-7|
EAF|3973|N-DODECYLMERCAPTAN|112-55-0|175.105,177.1050,178.2010
NIL|2513|ALPHA-(P-DODECYLPHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE)|26401-47-8|172.710,176.180,176.210
EAF|3734|DODECYL PROPIONATE|6221-93-8|
ASP|2036|DOG GRASS, EXTRACT (AGROPYRON REPENS (L.) BEAUV.)|977038-73-5|182.20
EAF|4045|D-8-P-MENTHENE-1,2-EPOXIDE|203719-54-4|
NIL|2037|DRAGON'S BLOOD, EXTRACT (DAEMONOROPS SPP. OR OTHER BOTANICAL SOURCES)|9000-19-5|172.510
NUL|2038|DRIED ALGAE MEAL|977010-47-1|73.275
BAN|2039|DULCIN--PROHIBITED|150-69-6|189.145
ASP|0405|EDTA, CALCIUM DISODIUM|62-33-9|155.200,155.201,161.173,166.110,169.115,169.140,169.150,172.120,172.135,175.105,176.170,73.1
ASP|0406|EDTA, DISODIUM|139-33-3|155.200,169.115,169.140,169.150,172.120,172.135,175.105,176.150,176.170,177.1200,178.1010,178.3570,573.360,73.1
NUL|2042|EDTA, DISODIUM IRON|14729-89-6|175.105
ASP|0407|EDTA, TETRASODIUM|64-02-8|173.310,173.315,175.105,175.125,175.300,176.150,176.170,176.210,178.1010,178.3910
EAF|3617|(2E,6E,8E)-N-(2-METHYLPROPYL)-2,6,8-DECATRIENAMIDE|76361-77-8|
EAF|3240|EGG WHITE LYSOZYME|12650-88-3|
ASP|2046|ELDER FLOWERS (SAMBUCUS CANADENSIS L. OR SAMBUCUS NIGRA L.)|977002-47-3|182.10
ASP|2045|ELDER FLOWERS, EXTRACT (SAMBUCUS CANADENSIS L. OR SAMBUCUS NIGRA L.)|977010-39-1|182.20
NUL|2047|ELDER TREE LEAVES (SAMBUCUS NIGRA L.)|977038-74-6|172.510
NIL|2048|ELECAMPANE ROOT, EXTRACT (INULA HELENIUM L.)|84012-20-4|172.510
NUL|2049|ELECAMPANE ROOT, OIL (INULA HELENIUM L.)|1397-83-7|172.510
EAF|2050|ELEMI, GUM|9000-75-3|172.510,175.105,175.300
ASP|2051|ELEMI, OIL (CANARIUM SPP.)|8023-89-0|172.510
NUL|2950|ENZYME-MODIFIED FATS|977127-78-8|184.1287
ASP|2052|ENZYMES, BACTERIAL|977143-80-8|133.106,133.108,133.113,133.118,133.133,133.136,133.138,133.141,133.144,133.147,133.148,133.149,133.150,133.152,133.153,133.156,133.160,133.164,133.179,133.181,133.184,133.185,133.190,133.195
ASP|2053|ENZYMES, PROTEOLYTIC|9001-92-7|
NUL|2055|EPICHLOROHYDRIN CROSSLINKED WITH AMMONIA|28551-14-6|173.25
EAF|3515|(+/-)-2,8-EPITHIO-CIS-P-MENTHANE|68398-18-5|
EAF|4049|2,3-EPOXYDECANAL|1048958-35-5|
EAF|3448|4,5-EPOXY-(E)-2-DECENAL|134454-31-2|
EAF|4048|2,3-EPOXYHEPTANAL|58936-30-4|
EAF|4047|2,3-EPOXYOCTANAL|42134-50-9|
EAF|3516|EPOXYOXOPHORONE|38284-11-6|
ASP|0291|EPSILON-DECALACTONE|5579-78-2|
NIL|2056|ERIGERON, OIL (ERIGERON CANADENSIS L.)|8007-27-0|172.510
EAF|4099|(?)-ERIODICTYOL|4049-38-1|
ASP|2057|ERYTHORBIC ACID|89-65-6|101.33,145.110,155.200,175.105,182.3041
NUL|2058|ESTERASE-LIPASE FROM MUCOR MIEHEI|977032-08-8|173.140
ASP|0408|ESTRAGOLE|140-67-0|172.515
NIL|0409|1,2-ETHANEDITHIOL|540-63-6|
EAF|3518|ETHANE-1,1-DITHIOL|69382-62-3|
NUL|3025|ETHANESULFONIC ACID, 2-(1-(DIFLUORO-((TRIFLUOROETHENYL)OXY)METHYL)-1,2,2,2-TETRAFLUOROETHOXY)-1,1,2,2-TETRAFLUORO-, POLYMER WITH TETRAFLUOROETHANE|31175-20-9|173.21
EAF|3655|ETHANETHIOL|75-08-1|
ASP|0410|P-ETHOXYBENZALDEHYDE|10031-82-0|172.515
EAF|3705|N-[(ETHOXYCARBONYL)METHYL)-P-MENTHANE-3-CARBOXAMIDE|68489-14-5|
EAF|4023|2-ETHOXY-3-ETHYLPYRAZINE|35243-43-7|
EAF|4022|2-ETHOXY-3-ISOPROPYLPYRAZINE|72797-16-1|
EAF|2999|1-ETHOXY-3-METHYL-2-BUTENE|22094-00-4|
ASP|0411|O-(ETHOXYMETHYL)PHENOL|20920-83-6|
ASP|0412|ETHOXYQUIN|91-53-2|172.140,177.2600,73.275,73.295
ASP|0413|2-ETHOXYTHIAZOLE|15679-19-3|
EAF|3785|(+-)-ETHYL 3-HYDROXY-2-METHYLBUTYRATE|27372-03-8|
NIL|0414|ETHYL ABIETATE|631-71-0|
ASP|0511|ETHYL (P-TOLYLOXY)ACETATE|67028-40-4|
ASP|0415|ETHYL ACETATE|141-78-6|172.560,172.859,173.228,175.320,177.1200,182.60,73.1
EAF|3340|ETHYL 2-(METHYLTHIO)ACETATE|4455-13-4|
ASP|0416|ETHYL ACETOACETATE|141-97-9|172.515,175.300
EAF|3869|ETHYL ACETOACETATE ETHYLENEGLYCOL KETAL|6413-10-1|
EAF|3449|(+/-)-ETHYL 3-ACETOXY-2-METHYLBUTYRATE|139564-43-5|
EAF|3835|ETHYL 5-ACETOXYOCTANOATE|35234-25-4|
EAF|3450|S-ETHYL 2-ACETYLAMINOETHANETHIOATE|4396-62-7|
EAF|3988|ETHYL ALPHA-ACETYLCINNAMATE|620-80-4|
EAF|3844|ETHYL 2-ACETYLHEXANOATE|1540-29-0|
EAF|3851|ETHYL 2-ACETYLOCTANOATE|29214-60-6|
ASP|0417|ETHYL 2-ACETYL-3-PHENYLPROPIONATE|620-79-1|172.515
ASP|0418|1-ETHYL-2-ACETYLPYRROLE|39741-41-8|
EAF|3377|ETHYL 4-(ACETYLTHIO)BUTYRATE|104228-51-5|
ASP|0419|ETHYL ACONITATE (MIXED ESTERS)|1321-30-8|172.515
ASP|0420|ETHYL ACRYLATE|140-88-5|172.515,174.2420,175.105,175.300,175.320,175.360,176.170,177.1010,177.1200,177.1630,178.3790
EAF|0421|ETHYL ALCOHOL|64-17-5|169.175,169.176,169.177,169.181,172.340,172.560,172.580,175.105,176.180,176.200,177.1200,177.1650,178.1010,184.1293,73.30,73.345,73.615
EAF|3633|ETHYLAMINE|75-04-7|
ASP|0422|ETHYL P-ANISATE|94-30-4|172.515
ASP|0423|ETHYL ANTHRANILATE|87-25-2|172.515
NUL|2975|4-ETHYLBENZALDEHYDE|4748-78-1|
ASP|0424|ETHYL BENZOATE|93-89-0|172.515
ASP|0425|ETHYL BENZOYLACETATE|94-02-0|172.515
ASP|0443|ETHYL BRASSYLATE|105-95-3|172.515
ASP|0427|2-ETHYLBUTYL ACETATE|10031-87-5|172.515
ASP|0428|2-ETHYLBUTYRALDEHYDE|97-96-1|172.515
ASP|0429|ETHYL BUTYRATE|105-54-4|182.60
EAF|3341|ETHYL 3-(METHYLTHIO)BUTYRATE|233665-96-8|
ASP|0430|2-ETHYLBUTYRIC ACID|88-09-5|172.515
ASP|0221|ETHYL CELLULOSE|9004-57-3|172.868,175.300,182.90,573.420,73.1
ASP|0431|ETHYL CINNAMATE|103-36-6|172.515
ASP|0432|ETHYL CROTONATE|623-70-1|172.515
ASP|0433|ETHYL CYCLOHEXANECARBOXYLATE|3289-28-9|
ASP|0434|ETHYL CYCLOHEXANEPROPIONATE|10094-36-7|172.515
ASP|0435|ETHYL TRANS-2,CIS-4-DECADIENOATE|3025-30-7|
ASP|0436|ETHYL DECANOATE|110-38-3|172.515
EAF|3260|ETHYL 2,4,7-DECATRIENOATE|78417-28-4|
ASP|0437|ETHYL TRANS-2-DECENOATE|7367-88-6|
ASP|0438|ETHYL TRANS-4-DECENOATE|76649-16-6|
EAF|3938|ETHYL 4,5-DIHYDRO-2,5-DIMETHYL-4-OXO-3-FURANCARBOXYLATE|39156-54-2|
EAF|4084|2-ETHYL-2,5-DIHYDRO-4-METHYLTHIAZOLE|41803-21-8|
NIL|2059|4-ETHYL-2,6-DIMETHOXYPHENOL|14059-92-8|
EAF|4057|2(4)-ETHYL-4(2),6-DIMETHYLDIHYDRO-1,3,5-DITHIAZINE (MIXTURE OF ISOMERS)|977188-74-1|
NIL|2060|2-ETHYL-4,5-DIMETHYLOXAZOLE|53833-30-0|
ASP|0440|3-ETHYL-2,6-DIMETHYLPYRAZINE|13925-07-0|
EAF|3827|5-ETHYL-2,3-DIMETHYLPYRAZINE|15707-34-3|
NIL|0441|ETHYL 2,4-DIOXOHEXANOATE|13246-52-1|
ASP|0442|ETHYLENEDIAMINE|107-15-3|173.320,175.105,175.300,175.320,176.180,178.1010,178.3120,181.30
EAF|3912|ETHYLENEDIAMINETETRAACETIC ACID DISODIUM SALT|6381-92-6|
NIL|1597|ETHYLENE DICHLORIDE|107-06-2|172.385,172.560,172.710,173.230,173.315,175.105,176.170,177.1580,177.1585,177.2550,573.440,73.30,73.345,73.615
NUL|0444|ETHYLENE GLYCOL DISTEARATE|627-83-8|73.1
ASP|0445|ETHYLENE GLYCOL MONOBUTYL ETHER|111-76-2|173.315,175.105,176.210,177.1650,178.1010
ASP|0446|ETHYLENE GLYCOL MONOETHYL ETHER|110-80-5|175.105,177.2600,73.1
